index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
358,"Congo, Rep.",2016,33.706,38.45264,21.30852348,47.29947,0
359,"Congo, Rep.",2017,33.025,37.86014,18.08658621,47.29947,0
360,"Congo, Rep.",2018,32.337,38.22684,13.50410756,44.18359,0
361,"Congo, Rep.",2019,31.676,39.53359,13.24087509,44.18359,0
362,"Congo, Rep.",2020,31.155,39.53359,17.4783555,44.18359,0
363,"Congo, Rep.",2021,30.691,39.53359,14.8705071,44.18359,0
364,"Congo, Rep.",2022,30.175,39.53359,11.83679224,44.18359,0
365,"Congo, Rep.",2023,30.175,39.53359,13.09930209,44.18359,0
366,Costa Rica,2015,14.522,67.67451,16.96024191,0,10.672
367,Costa Rica,2016,14.145,67.67937,16.70867908,5.37577,8.912
368,Costa Rica,2017,13.926,69.30028,16.35817465,5.37577,9.566
369,Costa Rica,2018,13.562,68.83187,16.19573389,4.46075,12.346
370,Costa Rica,2019,12.847,69.2383,16.75120098,4.46075,13.813
371,Costa Rica,2020,12.152,69.2383,17.70473207,3.54573,21.104
372,Costa Rica,2021,11.873,69.2383,16.53079798,3.54573,21.012
373,Costa Rica,2022,11.686,69.2383,15.39587873,3.54573,16.066
374,Costa Rica,2023,11.686,69.2383,14.87349346,3.54573,11.998
375,Cote d'Ivoire,2015,36.282,50.32956,9.347876,0,0
376,Cote d'Ivoire,2016,35.959,50.95707,9.865195072,54.75146,5.146
377,Cote d'Ivoire,2017,35.863,52.98796,10.26838596,54.75146,6.396
378,Cote d'Ivoire,2018,35.007,58.34417,10.04734403,53.21082,6.396
379,Cote d'Ivoire,2019,34.554,60.68796,10.8276426,53.21082,5.49
380,Cote d'Ivoire,2020,34.197,60.68796,11.32160445,53.21082,5.49
381,Cote d'Ivoire,2021,33.934,60.68796,9.962659467,53.21082,5.49
382,Cote d'Ivoire,2022,33.492,60.68796,10.41704471,53.21082,6.252
383,Cote d'Ivoire,2023,33.492,60.68796,10.4890783,53.21082,6.252
384,Croatia,2015,8.9,71.35304,22.46152823,0,18.042
385,Croatia,2016,9,72.15494,21.96633702,0,14.586
386,Croatia,2017,8.9,72.60762,21.79820751,0,11.691
387,Croatia,2018,9,72.95462,21.67398785,0,9.135
388,Croatia,2019,8.9,73.62096,21.69431087,0,6.906
389,Croatia,2020,8.9,73.62096,24.87982866,0,8.2
390,Croatia,2021,9.4,73.62096,23.06666487,0,8.45
391,Croatia,2022,8.8,73.62096,21.11216992,0,7.185
392,Croatia,2023,8.8,73.62096,21.28627613,0,6.788
393,Cuba,2015,10.972,0,32.20601197,0,0
394,Cuba,2016,10.351,0,31.89544698,8.44494,0
395,Cuba,2017,10.182,0,30.83820304,8.44494,0
396,Cuba,2018,10.348,0,30.04496667,9.49348,0
397,Cuba,2019,9.752,0,32.23220881,9.49348,0
398,Cuba,2020,9.344,0,38.8479746,10.54202,0
399,Cuba,2021,8.922,0,33.82647562,10.54202,0
400,Cuba,2022,8.889,0,32.53303418,10.54202,0
401,Cuba,2023,8.889,0,32.53303418,10.54202,0
402,Curacao,2021,8.6,0,14.47828743,0,22.53
403,Cyprus,2015,11.208,71.95361,16.60931001,0,16.676
404,Cyprus,2016,11.419,72.31415,15.48715944,0,14.321
405,Cyprus,2017,10.994,72.28343,15.03364293,0,11.467
406,Cyprus,2018,10.843,72.77735,14.70791657,0,8.997
407,Cyprus,2019,10.794,73.35105,16.0314662,0,8.057
408,Cyprus,2020,10.583,73.35105,19.19669926,0,8.692
409,Cyprus,2021,10.313,73.35105,18.5541028,0,8.81
410,Cyprus,2022,10.023,73.35105,17.87683532,0,7.784
411,Cyprus,2023,10.023,73.35105,18.55839835,0,6.371
412,Czechia,2015,10.5,76.10923,18.80776377,0,4.702
413,Czechia,2016,10.7,76.38834,18.78146532,0,3.498
414,Czechia,2017,10.8,76.42162,18.50981514,0,2.691
415,Czechia,2018,10.7,76.322,19.17491832,0,2.059
416,Czechia,2019,10.5,76.34054,19.26463299,0,1.749
417,Czechia,2020,10.3,76.34054,21.31989023,0,2.394
418,Czechia,2021,10.6,76.34054,20.77098746,0,2.686
419,Czechia,2022,9.5,76.34054,19.44147355,0,2.038
420,Czechia,2023,9.5,76.34054,19.6583815,0,1.99
421,Denmark,2015,10.2,84.50938,25.54635582,0,5.38
422,Denmark,2016,10.8,84.59517,24.94291548,0,5.134
