index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
210,Botswana,BWA,2021,23.106,0.917966439,31.52924105,2401441,4.237363471,1.4574582511083969
211,Botswana,BWA,2022,23.615,0.917966439,27.88729499,2439892,4.305210594,0.8197084133232128
212,Botswana,BWA,2023,23.381,0.917966439,28.94315219,2480244,4.305210594,1.2095584144140656
213,Brazil,BRA,2015,8.538,0.725238095,19.77681996,201675532,24.12923593,0.8578135299030722
214,Brazil,BRA,2016,11.58,0.715999444,20.37929743,203218114,24.31379637,0.8488416539482303
215,Brazil,BRA,2017,12.792,0.705476856,20.1619047,204703445,24.49150708,1.3434068000174593
216,Brazil,BRA,2018,12.329,0.728325342,19.89508778,206107261,24.65946502,1.9140519265839935
217,Brazil,BRA,2019,11.936,0.717090966,19.98358129,207455459,24.82076862,2.5499449498699382
218,Brazil,BRA,2020,13.697,0.76198572,20.13515302,208660842,24.96498527,1.7756086693065294
219,Brazil,BRA,2021,13.158,0.76198572,18.54758836,209550294,25.07140273,5.447379615702185
220,Brazil,BRA,2022,9.231,0.76198572,18.40221272,210306415,25.16186795,3.4901455573763647
221,Brazil,BRA,2023,7.947,0.76198572,18.2188135,211140729,25.16186795,3.424256435147574
222,British Virgin Islands,VGB,2020,0,0,0,37135,247.5666667,0
223,Brunei Darussalam,BRN,2015,7.726,4.364566327,25.0616661,422212,80.11612903,1.1842391973700417
224,Brunei Darussalam,BRN,2016,8.574,5.627906977,26.22317864,427564,81.1316888,0
225,Brunei Darussalam,BRN,2017,9.316,3.669303979,26.47724699,432772,82.1199241,0
226,Brunei Darussalam,BRN,2018,8.7,3.629619465,24.14172854,437810,83.07590133,0
227,Brunei Darussalam,BRN,2019,6.6,3.573390746,25.04039617,442680,84,0
228,Brunei Darussalam,BRN,2020,7.409,3.561618221,25.43098596,447404,84.89639469,0
229,Brunei Darussalam,BRN,2021,4.905,3.561618221,22.467059,451721,85.71555977,0
230,Brunei Darussalam,BRN,2022,5.191,3.561618221,20.12423823,455370,86.40796964,0
231,Brunei Darussalam,BRN,2023,5.183,3.561618221,22.81804665,458949,86.40796964,0
232,Bulgaria,BGR,2015,9.143,1.41195505,16.08914146,7177991,66.120035,5.154645638313005
233,Bulgaria,BGR,2016,7.575,0.958089844,15.58886361,7127822,65.65790346,5.190926484976758
234,Bulgaria,BGR,2017,6.164,0.921287568,15.58457694,7075947,65.18005711,4.310377113
235,Bulgaria,BGR,2018,5.211,1.109531976,16.44139557,7025037,64.71109985,2.633438087230003
236,Bulgaria,BGR,2019,4.23,1.095602901,16.77297548,6975761,64.25719418,2.3653333306574007
237,Bulgaria,BGR,2020,5.125,1.119042197,19.30764507,6934015,63.87265107,1.370057607316973
238,Bulgaria,BGR,2021,5.267,1.119042197,18.88518604,6877743,63.35430177,2.3990428255315734
239,Bulgaria,BGR,2022,4.268,1.119042197,18.27892906,6643324,61.1949521,2.0321152483305043
240,Bulgaria,BGR,2023,4.319,1.119042197,18.4205974,6446596,61.1949521,2.0941284361545223
241,Burkina Faso,BFA,2015,4.461,0.176505499,15.94408026,18777487,68.63116594,1.278126301
242,Burkina Faso,BFA,2016,4.587,0.177275235,16.5070966,19334856,70.66833333,1.4481618068425233
243,Burkina Faso,BFA,2017,4.656,0.171270895,17.73932315,19894407,72.71347588,1.3068999744501055
244,Burkina Faso,BFA,2018,4.695,0.175742512,18.41940948,20438288,74.70134503,1.4433694250712192
245,Burkina Faso,BFA,2019,4.71,0.17430666,20.49994241,20961952,76.61532164,1.0972260598631274
246,Burkina Faso,BFA,2020,5.04,0.177629961,19.78414015,21478690,78.50398392,0.8147610492073772
247,Burkina Faso,BFA,2021,5.2,0.177629961,20.24798045,21995243,80.39197003,1.5003244110556087
248,Burkina Faso,BFA,2022,5.389,0.177629961,19.87077318,22509038,82.26987573,2.2213299386673033
249,Burkina Faso,BFA,2023,5.348,0.177629961,19.97507117,23025776,82.26987573,1.867472349248946
250,Burundi,BDI,2015,1.442,0.88128983,22.42238344,11047580,430.2017134,8.553909544
251,Burundi,BDI,2016,1.347,1.086240472,23.47319363,11239451,437.6733255,5.649742144878784
252,Burundi,BDI,2017,1.247,0.645723964,25.08628881,11506762,448.0826324,6.952433708110066
253,Burundi,BDI,2018,1.146,1.028653594,26.21026746,11859446,461.816433,9.233146303798677
254,Burundi,BDI,2019,1.043,0.99045185,27.24477,12255336,477.2327103,12.729149164086566
255,Burundi,BDI,2020,1.03,0.589718206,31.3443,12617036,491.3176012,6.380262369069883
